Pintu Masuk,,,,,,,,,,,,,
",""Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2017 - sekarang"",,,,,,,,,,,,"
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Batam,134415,159248,172461,154810,145447,175001,147690,183401,159331,158619,167288,190232,-
Tanjung Uban,40601,49394,61156,48560,58673,61850,49247,55638,50232,47670,52374,59340,-
Tanjung Pinang,9268,13141,15813,15841,14816,18935,11951,15621,12768,12406,12378,16426,-
Tanjung Balai Karimun,8572,11411,10859,10039,6235,10118,8425,10273,8245,8451,9209,10916,-
Tanjung Benoa,3862,1190,7862,53,37,33,13,1679,28,2001,5021,7677,-
Tanjung Mas,1646,2328,4999,1015,-,73,97,-,266,-,2202,5135,-
Pintu Laut Lainnya,106115,104039,105548,98566,109903,120142,94006,101796,96772,103172,109792,98769,-
C. Pintu Darat,190552,171728,174392,173309,203196,218884,180874,184827,160668,158319,145273,149594,-
Jayapura,4418,3889,3871,4702,4743,4326,5557,5694,4052,3874,5006,6155,-
Atambua,7835,5973,6741,9618,7457,8718,8961,9492,7731,8994,9824,12561,-
Entikong,1563,2158,2366,1333,1290,2312,1720,2265,1704,1705,1691,3177,-
Aruk,804,1989,2171,836,939,2081,1061,2081,1066,763,1009,1708,-
Nanga Badau,1187,1128,1185,937,1705,1495,1178,1226,981,911,954,1585,-
Pintu Darat Lainnya,174745,156591,158058,155883,187062,199952,162397,164069,145134,142072,126789,124408,-
Jumlah (A+B+C),1201735,1243996,1311911,1274231,1249536,1434103,1468173,1530268,1388719,1346434,1280781,1377067,-

Pintu Masuk,,,,,,,,,,,,,
",""Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2017 - sekarang"",,,,,,,,,,,,"
,2018,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
A. Pintu Udara,643177,740440,845635,848734,805452,817405,1073385,1006054,911326,855240,716298,825635,-
Ngurah Rai,345191,443805,484846,516143,526281,540462,624263,571380,555888,515181,406679,495641,-
Soekarno-Hatta,210494,201981,244467,224978,191631,182887,322808,308698,250058,244775,206820,224989,-
Juanda,21532,19621,26391,26306,24420,27329,33390,34166,24835,25938,29992,26609,-
Kualanamu,15656,17740,21693,18538,14624,18153,22330,23753,19851,15744,21538,19966,-
Husein Sastranegara,11463,12212,15657,14163,10453,6401,12751,13697,13328,13850,14280,17311,-
Adi Sucipto,10849,12602,14055,11435,9584,7547,13642,13468,12553,11613,10661,10813,-
Bandara Int. Lombok,5986,5800,9880,10644,7512,8859,13980,4308,3866,3515,2306,3151,-
Sam Ratulangi,8507,10794,10114,10201,9405,10107,11875,15448,12730,8343,5735,8845,-
Minangkabau,3253,4459,5057,4293,3002,4549,5100,5602,5094,4055,5118,4801,-
Sultan Syarif Kasim II,2129,1942,2510,2044,1666,2838,2417,2977,2321,2654,3265,3013,-
Sultan Iskandar Muda,2802,2915,3402,2941,1717,1468,3297,3087,3074,2058,1137,1315,-
Ahmad Yani,1680,1724,2020,2232,1612,1647,2114,2650,2117,2022,1844,1930,-
Supadio,1284,2356,2416,1902,1473,1652,1639,1992,2254,1697,2352,2033,-
Hasanuddin,832,1004,1099,1077,661,1216,1566,1626,1281,1187,1171,1406,-
Sultan Badaruddin II,727,788,1015,861,716,1311,1185,2263,1160,1167,1238,1431,-
Pintu Udara Lainnya,792,697,1013,976,695,979,1028,939,916,1441,2162,2381,-
B. Pintu Laut,220044,261044,304859,236833,230118,289312,252458,280868,264522,243901,259832,370629,-
Batam,115590,155671,175194,144104,142157,167398,144235,159218,153944,141337,155283,233153,-
Tanjung Uban,26993,31758,37364,32237,33833,40296,52228,57643,53214,47742,47833,61258,-
Tanjung Pinang,8753,10704,13261,10449,11268,12815,10661,12310,12530,10759,11073,16020,-
Tanjung Balai Karimun,5689,7832,8337,7328,5295,7885,6397,6913,7292,5981,6749,9020,-
Tanjung Benoa,4626,8616,4254,634,2231,4088,29,1315,15,2030,46,3178,-
Tanjung Mas,2020,3191,6988,437,137,-,-,-,-,133,4686,2315,-
Pintu Laut Lainnya,56373,43272,59461,41644,35197,56830,38908,43469,37527,35919,34162,45685,-
C. Pintu Darat,234618,196019,212932,216754,207135,215957,221388,224099,195095,192464,181353,209290,-
Jayapura,12616,11696,10331,10641,7542,5864,6643,7706,11220,14147,2467,3202,-
Atambua,4601,3799,5250,5571,6283,7047,6508,7912,8575,8246,8207,13915,-
Entikong,1534,2100,2376,1277,1827,2756,1453,1821,1608,1235,1585,3641,-
Aruk,377,928,766,587,1051,2200,825,1516,1143,745,1066,1125,-
Nanga Badau,662,694,661,661,1114,1331,849,1121,1097,1098,1034,1826,-
Pintu Darat Lainnya,214828,176802,193548,198017,189318,196759,205110,204023,171452,166993,166994,185581,-
Jumlah (A+B+C),1097839,1197503,1363426,1302321,1242705,1322674,1547231,1511021,1370943,1291605,1157483,1405554,-

Pintu Masuk,,,,,,,,,,,,,
",""Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2017 - sekarang"",,,,,,,,,,,,"
,2017,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
A. Pintu Udara,746666,720428,749150,812927,809941,763470,1002611,1014475,883842,802479,701307,663359,-
Ngurah Rai,455930,448157,424134,477408,488698,505976,594238,601553,551968,464703,360043,309440,-
Soekarno-Hatta,203067,191933,222497,228611,220817,174669,297360,289000,227687,232014,231183,230483,-
Juanda,17279,11998,15844,21461,20447,19658,25252,25330,21890,20439,24360,23208,-
Kualanamu,18457,15680,20767,19273,19013,18464,20437,25201,19150,20738,23356,26015,-
Husein Sastranegara,8518,13257,17256,16029,15275,8174,11967,15063,13971,14002,15387,17958,-
Adi Sucipto,9192,8963,11807,13224,11608,7559,14181,15786,13834,13535,11781,14203,-
Bandara Int. Lombok,9394,8775,11305,13204,11792,9201,12468,12207,10032,10070,7704,7236,-
Sam Ratulangi,7697,5149,5168,5927,5632,4708,7330,8906,6335,7714,6493,8616,-
Minangkabau,4042,4066,4992,4621,4167,3022,4157,5215,4397,4885,4682,8630,-
Sultan Syarif Kasim II,3274,2909,3612,3554,3578,3504,3543,3590,3066,3026,3225,3224,-
Sultan Iskandar Muda,2852,3254,3375,2947,2430,1528,2297,2627,2559,2763,2905,3698,-
Ahmad Yani,1548,1354,1815,1647,1891,1541,2294,2625,2088,2079,2361,2354,-
Supadio,858,626,899,655,812,1642,1731,2307,2104,1979,2263,2652,-
Hasanuddin,1812,1263,1530,1179,1131,1240,2132,1743,1604,1448,1538,1715,-
Sultan Badaruddin II,1060,1156,1468,1154,1010,1136,1220,1418,1256,977,1266,1580,-
Pintu Udara Lainnya,1686,1888,2681,2033,1640,1448,2004,1904,1901,2107,2760,2347,-
B. Pintu Laut,230174,186669,220326,233538,209193,233765,226979,235311,229735,222271,230070,324624,-
